periodo,carrera,genero,edad,tipo_ingreso,sede,estatus
2015-II,Administracion,M,19,Reingreso,Barbula,Egresado
2015-II,Administracion,M,17,Regular,Barbula,Activo
2015-II,Administracion,M,20,Regular,Barbula,Egresado
2015-II,Administracion,M,17,Regular,La Morita,Retirado
2015-II,Administracion,F,23,Equivalencia,Barbula,Egresado
2015-II,Administracion,F,19,Regular,Barbula,Egresado
2015-II,Administracion,F,25,Regular,Barbula,Activo
2015-II,Administracion,F,19,Regular,La Morita,Activo
2015-II,Administracion,F,18,Regular,La Morita,Retirado
2015-II,Administracion,M,22,Regular,La Morita,Retirado
2015-II,Administracion,M,21,Regular,Barbula,Activo
2015-II,Administracion,F,21,Regular,Barbula,Activo
2015-II,Administracion,F,20,Reingreso,Barbula,Egresado
2015-II,Administracion,F,19,Regular,Barbula,Activo
2015-II,Administracion,M,19,Regular,Barbula,Activo
2015-II,Administracion,F,20,Regular,La Morita,Egresado
2015-II,Administracion,F,19,Regular,Barbula,Activo
2015-II,Administracion,M,21,Regular,Barbula,Activo
2015-II,Administracion,F,20,Regular,Barbula,Activo
2015-II,Administracion,F,23,Regular,Barbula,Retirado
2015-II,Administracion,M,20,Regular,Barbula,Retirado
2015-II,Administracion,F,24,Regular,Barbula,Activo
2015-II,Administracion,M,18,Regular,Barbula,Activo
2015-II,Administracion,M,20,Regular,Barbula,Retirado
2015-II,Administracion,F,19,Regular,La Morita,Activo
