estudiante_id,carrera,semestre,genero,edad,promedio,materias_inscritas,materias_aprobadas,materias_reprobadas,asistencia_pct,beca,trabaja
EST-0138,Contaduria,7,M,27,19.9,5,5,0,100.0,False,False
EST-0139,Contaduria,3,M,21,15.4,4,1,3,73.7,False,False
EST-0140,Economia,2,F,21,15.6,4,3,1,55.2,False,True
EST-0141,Economia,4,F,24,13.3,4,1,3,88.7,False,False
EST-0142,Administracion,9,M,27,15.3,6,1,5,75.3,True,False
EST-0143,Relaciones Industriales,4,F,17,17.8,5,5,0,70.9,True,False
EST-0144,Administracion,9,F,21,16.4,4,4,0,100.0,False,False
EST-0145,Contaduria,3,M,25,17.3,5,5,0,74.1,False,True
EST-0146,Contaduria,2,F,20,10.1,7,4,3,98.9,False,True
EST-0147,Administracion,10,F,28,10.3,6,3,3,94.4,False,False
EST-0148,Contaduria,7,M,26,13.2,6,5,1,67.5,False,False
EST-0149,Relaciones Industriales,9,M,24,16.4,6,5,1,73.1,True,True
EST-0150,Administracion,6,F,23,10.1,6,3,3,100.0,False,False
EST-0151,Contaduria,9,M,27,15.8,5,5,0,80.3,True,True
EST-0152,Contaduria,10,M,27,13.0,6,5,1,74.1,True,True
EST-0153,Economia,2,M,19,13.3,5,4,1,72.7,False,True
EST-0154,Administracion,6,F,23,12.0,7,4,3,76.3,False,True
EST-0155,Contaduria,6,F,21,18.3,7,7,0,97.3,True,False
EST-0156,Relaciones Industriales,10,M,21,15.4,5,3,2,87.0,False,False
EST-0157,Administracion,3,F,24,14.9,4,4,0,93.8,False,True
EST-0158,Contaduria,7,M,24,9.9,7,3,4,91.1,False,False
EST-0159,Contaduria,3,M,22,14.7,5,4,1,100.0,False,False
EST-0160,Administracion,5,M,24,11.9,6,4,2,73.0,False,True
EST-0161,Relaciones Industriales,3,F,20,11.8,4,3,1,58.2,False,False
EST-0162,Administracion,5,F,21,16.4,5,5,0,81.4,True,True
EST-0163,Administracion,6,M,17,10.7,6,1,5,76.9,False,True
EST-0164,Administracion,5,F,27,13.6,4,4,0,86.5,False,False
EST-0165,Relaciones Industriales,7,F,17,11.8,6,3,3,70.2,False,True
EST-0166,Administracion,2,F,21,11.7,7,5,2,86.9,False,False
EST-0167,Relaciones Industriales,8,F,21,14.6,6,4,2,82.2,False,False
EST-0168,Relaciones Industriales,5,F,24,10.0,6,2,4,68.5,False,True
EST-0169,Administracion,2,F,22,13.0,6,3,3,64.7,False,True
EST-0170,Relaciones Industriales,1,M,21,13.5,6,5,1,77.5,False,False
EST-0171,Contaduria,8,F,25,11.1,4,1,3,82.7,False,True
EST-0172,Economia,5,M,26,12.1,6,4,2,80.6,False,True
EST-0173,Administracion,10,M,21,14.1,7,4,3,96.9,False,True
EST-0174,Contaduria,6,F,23,10.4,7,5,2,69.8,False,True
EST-0175,Administracion,2,M,24,13.2,5,4,1,82.8,False,True
EST-0176,Economia,1,F,21,10.2,6,2,4,82.2,False,True
EST-0177,Contaduria,8,F,19,13.5,5,2,3,78.3,False,True
EST-0178,Administracion,10,F,19,15.8,5,5,0,100.0,False,False
EST-0179,Contaduria,8,F,21,10.5,7,2,5,93.7,True,False
EST-0180,Economia,5,F,23,11.7,5,2,3,93.1,False,True
EST-0181,Economia,10,F,29,11.3,5,4,1,83.7,False,False
EST-0182,Relaciones Industriales,10,F,29,12.8,4,2,2,66.7,True,True
EST-0183,Economia,3,M,23,15.1,5,5,0,79.2,False,True
EST-0184,Administracion,10,F,24,12.2,7,5,2,79.6,False,False
EST-0185,Administracion,1,F,21,10.6,7,2,5,84.7,False,True
EST-0186,Economia,4,M,19,12.8,4,3,1,67.2,False,False
EST-0187,Economia,7,F,23,10.0,5,0,5,80.6,False,True
EST-0188,Contaduria,5,M,23,12.5,4,2,2,49.7,False,False
EST-0189,Economia,10,F,23,14.7,5,4,1,81.2,False,False
EST-0190,Relaciones Industriales,6,F,22,14.5,6,4,2,82.1,False,False
EST-0191,Contaduria,10,M,24,11.9,6,5,1,67.1,False,True
EST-0192,Contaduria,3,F,24,13.7,6,3,3,75.2,False,True
EST-0193,Administracion,2,F,21,18.0,5,5,0,86.8,False,False
EST-0194,Contaduria,1,F,18,13.0,6,6,0,87.2,False,True
EST-0195,Administracion,10,M,27,18.2,7,7,0,96.9,False,False
EST-0196,Administracion,3,M,21,10.7,4,4,0,60.6,False,True
EST-0197,Administracion,1,F,24,8.6,6,1,5,76.5,False,True
EST-0198,Economia,2,M,22,12.0,7,6,1,78.6,False,False
EST-0199,Relaciones Industriales,3,M,20,9.0,6,3,3,53.7,False,True
EST-0200,Administracion,3,F,25,11.2,5,4,1,70.9,True,True
EST-0201,Administracion,10,M,26,10.8,5,1,4,67.1,False,False
EST-0202,Economia,9,F,22,10.0,7,2,5,89.6,False,True
EST-0203,Economia,7,F,26,8.0,7,4,3,87.9,False,True
EST-0204,Contaduria,6,F,24,14.7,4,2,2,75.2,False,True
EST-0205,Administracion,3,M,24,14.5,6,4,2,57.8,False,True
EST-0206,Relaciones Industriales,3,F,20,13.3,4,4,0,85.9,False,True
EST-0207,Relaciones Industriales,8,M,28,13.6,6,4,2,84.7,False,True
EST-0208,Contaduria,7,M,20,15.5,5,5,0,69.1,False,False
EST-0209,Economia,8,F,26,13.7,7,6,1,92.8,False,False
EST-0210,Administracion,4,M,22,14.6,4,2,2,65.3,False,True
EST-0211,Administracion,9,F,25,10.9,4,1,3,78.4,False,True
EST-0212,Administracion,4,F,18,13.6,7,4,3,90.7,False,False
EST-0213,Administracion,8,M,25,17.0,6,4,2,80.6,False,False
EST-0214,Economia,2,F,19,11.2,4,3,1,89.6,False,False
EST-0215,Administracion,1,M,23,15.5,7,7,0,84.5,False,False
EST-0216,Economia,10,F,23,13.1,4,2,2,99.8,False,False
EST-0217,Contaduria,7,M,25,13.2,5,2,3,73.0,False,True
EST-0218,Contaduria,1,M,18,11.8,6,4,2,72.7,False,False
EST-0219,Contaduria,2,F,20,11.5,6,5,1,71.7,False,True
EST-0220,Administracion,9,M,26,13.3,4,1,3,87.2,False,False
EST-0221,Administracion,5,F,22,14.8,5,4,1,100.0,False,False
EST-0222,Relaciones Industriales,8,F,23,15.5,6,3,3,73.1,False,False
EST-0223,Administracion,2,M,20,11.1,5,2,3,76.7,True,False
EST-0224,Administracion,8,F,25,11.8,4,1,3,75.3,False,False
EST-0225,Economia,7,M,24,13.7,7,6,1,90.6,False,True
EST-0226,Administracion,7,F,21,17.9,6,6,0,47.9,False,True
EST-0227,Administracion,1,F,20,13.8,4,2,2,68.7,False,True
EST-0228,Relaciones Industriales,3,F,20,10.0,7,5,2,88.2,False,True
EST-0229,Administracion,4,F,23,10.0,6,2,4,87.0,False,True
EST-0230,Administracion,6,M,22,15.2,7,7,0,90.0,False,True
EST-0231,Contaduria,5,M,21,10.8,6,2,4,79.0,False,True
EST-0232,Economia,9,F,26,14.0,4,2,2,91.1,False,False
EST-0233,Relaciones Industriales,4,M,21,15.1,5,3,2,100.0,False,True
EST-0234,Economia,2,F,19,14.0,5,4,1,66.1,False,False
EST-0235,Economia,9,F,22,11.2,5,4,1,97.4,True,False
EST-0236,Relaciones Industriales,5,F,24,10.2,7,5,2,70.7,False,True
EST-0237,Contaduria,7,F,22,12.9,6,6,0,68.4,False,True
EST-0238,Economia,2,F,20,9.6,6,1,5,84.5,True,False
EST-0239,Economia,7,F,23,10.8,6,0,6,60.6,False,True
EST-0240,Contaduria,7,M,26,13.2,6,4,2,95.0,False,True
EST-0241,Administracion,5,M,22,13.0,7,4,3,100.0,False,False
EST-0242,Economia,5,M,25,12.9,7,6,1,100.0,False,False
EST-0243,Contaduria,6,F,22,10.4,4,2,2,61.2,False,True
EST-0244,Contaduria,3,F,21,14.0,6,5,1,92.4,True,False
EST-0245,Administracion,6,F,19,11.6,7,5,2,59.8,True,False
EST-0246,Relaciones Industriales,5,M,25,5.6,6,2,4,81.8,False,False
EST-0247,Contaduria,7,M,22,12.8,4,3,1,100.0,False,False
EST-0248,Contaduria,3,F,18,10.3,4,1,3,83.1,False,False
EST-0249,Economia,6,F,19,11.4,4,2,2,80.6,False,True
EST-0250,Administracion,8,F,28,13.5,4,3,1,80.7,False,True
EST-0251,Relaciones Industriales,1,M,19,17.9,4,3,1,76.6,False,False
EST-0252,Contaduria,9,F,29,11.5,7,3,4,76.1,True,False
EST-0253,Administracion,3,M,22,12.6,5,2,3,77.2,False,False
EST-0254,Administracion,8,M,26,16.0,6,6,0,69.2,False,False
EST-0255,Administracion,8,F,26,15.8,5,5,0,73.7,False,False
EST-0256,Administracion,5,F,17,16.4,6,5,1,78.5,False,False
EST-0257,Relaciones Industriales,1,F,23,14.0,7,7,0,94.7,False,False
EST-0258,Relaciones Industriales,7,M,26,13.1,5,4,1,77.9,False,False
EST-0259,Relaciones Industriales,8,F,24,13.2,6,4,2,81.8,False,False
EST-0260,Contaduria,3,F,17,13.4,5,1,4,50.4,False,True
EST-0261,Relaciones Industriales,1,F,23,17.5,5,5,0,89.8,True,True
EST-0262,Administracion,8,F,20,11.3,7,5,2,69.8,False,True
EST-0263,Economia,10,M,22,14.8,6,5,1,78.8,True,True
EST-0264,Contaduria,8,F,19,14.1,6,5,1,71.7,True,False
EST-0265,Contaduria,4,M,23,15.5,6,5,1,59.5,False,True
EST-0266,Economia,10,F,19,12.4,4,3,1,56.2,False,True
EST-0267,Relaciones Industriales,7,F,20,15.8,4,4,0,92.0,False,True
EST-0268,Economia,2,M,18,12.4,4,3,1,85.4,False,True
EST-0269,Contaduria,1,M,18,13.3,7,3,4,92.1,False,True
EST-0270,Administracion,10,F,21,16.5,6,6,0,86.1,False,True
EST-0271,Economia,7,F,23,19.0,5,5,0,100.0,False,False
EST-0272,Contaduria,7,M,29,14.3,6,3,3,83.3,False,False
EST-0273,Administracion,7,F,20,9.3,4,1,3,93.0,False,False
EST-0274,Relaciones Industriales,2,F,18,9.3,7,2,5,91.8,False,True
EST-0275,Contaduria,1,M,24,11.6,4,4,0,86.9,False,False
EST-0276,Relaciones Industriales,7,M,20,10.6,4,0,4,75.7,False,True
EST-0277,Contaduria,5,M,17,16.7,4,4,0,81.4,False,False
EST-0278,Relaciones Industriales,2,M,17,14.1,5,5,0,93.7,False,True
EST-0279,Economia,8,M,23,15.4,4,4,0,98.0,False,False
EST-0280,Relaciones Industriales,1,M,27,15.0,5,3,2,84.5,True,False
EST-0281,Contaduria,4,M,20,11.8,6,4,2,62.9,False,False
EST-0282,Contaduria,6,M,23,19.0,4,3,1,97.6,False,True
EST-0283,Administracion,9,F,22,11.4,7,5,2,92.4,False,False
EST-0284,Administracion,4,F,24,15.0,6,4,2,66.0,False,True
EST-0285,Administracion,7,M,19,15.6,7,6,1,72.8,False,False
EST-0286,Economia,2,M,17,11.3,7,5,2,95.4,False,False
EST-0287,Contaduria,2,F,21,12.3,4,1,3,83.1,False,False
EST-0288,Economia,7,F,25,12.9,4,3,1,58.5,False,True
EST-0289,Contaduria,4,M,22,15.0,7,7,0,97.7,False,False
EST-0290,Economia,6,M,22,11.1,7,5,2,84.9,False,True
EST-0291,Administracion,8,F,24,14.2,6,4,2,84.3,True,True
EST-0292,Administracion,6,M,21,15.3,7,6,1,85.0,True,False
EST-0293,Contaduria,4,F,21,12.4,5,4,1,100.0,False,False
EST-0294,Economia,2,F,20,13.4,5,4,1,73.4,False,True
EST-0295,Contaduria,4,F,21,15.7,7,6,1,75.8,False,False
EST-0296,Economia,9,F,25,16.9,4,4,0,86.7,False,False
EST-0297,Relaciones Industriales,7,F,20,15.3,5,3,2,84.0,False,False
EST-0298,Economia,10,M,25,14.3,6,5,1,83.4,False,False
EST-0299,Economia,4,M,23,17.1,7,6,1,91.5,False,True
EST-0300,Administracion,3,F,19,10.2,4,1,3,68.2,False,False
EST-0301,Relaciones Industriales,3,M,23,10.6,6,0,6,72.5,False,True
EST-0302,Contaduria,3,F,20,13.4,5,4,1,79.9,True,False
EST-0303,Administracion,10,M,25,12.3,6,5,1,92.0,False,False
EST-0304,Contaduria,10,F,25,13.1,6,3,3,86.3,False,False
EST-0305,Economia,8,M,20,16.9,4,4,0,80.7,False,True
EST-0306,Economia,1,F,18,10.5,7,4,3,90.9,False,False
EST-0307,Administracion,5,F,25,13.0,4,3,1,90.2,False,False
EST-0308,Contaduria,1,M,22,12.6,4,4,0,100.0,True,False
EST-0309,Administracion,2,F,20,11.2,6,5,1,58.2,False,True
EST-0310,Administracion,7,M,28,12.0,7,5,2,88.6,False,False
EST-0311,Contaduria,9,F,25,10.7,6,4,2,98.1,False,False
EST-0312,Contaduria,10,F,26,15.0,6,3,3,67.5,True,False
EST-0313,Economia,8,F,21,12.8,7,5,2,76.2,False,False
EST-0314,Administracion,6,M,23,14.2,6,6,0,82.3,False,True
EST-0315,Economia,8,F,23,15.9,6,3,3,77.7,False,False
EST-0316,Administracion,7,M,26,17.7,5,5,0,78.3,False,False
EST-0317,Administracion,10,F,25,14.6,6,5,1,67.4,False,True
EST-0318,Relaciones Industriales,2,M,17,12.7,4,3,1,92.4,False,False
EST-0319,Administracion,10,M,27,11.5,6,5,1,69.1,False,False
EST-0320,Contaduria,10,M,19,15.5,5,3,2,81.8,False,False
EST-0321,Economia,8,F,23,8.9,6,2,4,95.3,False,True
EST-0322,Economia,1,M,19,12.3,6,5,1,100.0,False,False
EST-0323,Administracion,7,F,21,15.4,7,5,2,85.6,True,True
EST-0324,Relaciones Industriales,5,F,23,11.9,6,4,2,72.8,False,True
EST-0325,Contaduria,5,F,22,14.9,7,5,2,82.1,False,True
EST-0326,Contaduria,6,M,28,16.1,5,3,2,81.7,False,False
EST-0327,Relaciones Industriales,1,F,19,15.5,5,4,1,62.3,False,False
EST-0328,Economia,4,F,18,7.9,6,0,6,71.0,False,True
EST-0329,Economia,1,F,17,12.8,7,6,1,93.2,False,True
EST-0330,Contaduria,5,M,24,18.5,7,7,0,80.0,False,True
EST-0331,Economia,1,F,19,13.2,6,6,0,91.1,False,False
EST-0332,Economia,6,F,19,13.4,7,5,2,58.7,False,True
EST-0333,Economia,1,F,24,10.6,6,3,3,60.2,False,True
EST-0334,Administracion,5,M,23,14.7,5,4,1,67.2,False,True
EST-0335,Contaduria,10,F,24,12.8,6,4,2,70.6,False,True
EST-0336,Contaduria,1,M,23,8.7,5,0,5,83.0,False,True
EST-0337,Contaduria,1,F,18,15.7,6,6,0,89.7,False,False
EST-0338,Relaciones Industriales,2,F,19,16.6,4,3,1,73.0,False,True
EST-0339,Contaduria,6,F,27,10.8,7,5,2,98.8,True,True
EST-0340,Contaduria,9,F,23,13.5,6,6,0,75.8,True,False
EST-0341,Contaduria,3,F,19,15.0,6,5,1,99.0,False,False
EST-0342,Administracion,3,F,23,12.5,5,5,0,83.9,True,True
EST-0343,Economia,2,M,26,16.0,6,6,0,72.7,False,False
EST-0344,Contaduria,1,F,19,10.8,7,6,1,80.8,False,True
EST-0345,Economia,8,F,24,11.5,4,2,2,80.7,False,False
EST-0346,Contaduria,7,M,23,14.4,7,5,2,82.1,False,False
EST-0347,Economia,6,F,23,16.5,7,5,2,76.3,False,False
EST-0348,Administracion,1,F,19,14.7,5,4,1,81.6,False,True
EST-0349,Relaciones Industriales,5,F,19,15.6,5,4,1,77.0,False,True
EST-0350,Administracion,10,M,28,12.5,6,4,2,76.5,False,False
EST-0351,Relaciones Industriales,10,F,27,12.0,5,3,2,87.4,False,True
EST-0352,Contaduria,4,M,22,17.0,5,3,2,88.0,False,True
EST-0353,Economia,10,F,24,17.4,6,5,1,71.4,True,True
EST-0354,Administracion,3,M,20,17.6,6,5,1,100.0,False,False
EST-0355,Relaciones Industriales,8,F,20,11.0,7,7,0,87.3,False,False
EST-0356,Administracion,1,F,18,10.6,7,6,1,89.8,False,False
EST-0357,Economia,9,F,21,12.7,6,2,4,75.7,False,True
EST-0358,Contaduria,2,M,20,8.0,7,2,5,80.7,False,True
EST-0359,Contaduria,5,M,22,10.8,5,2,3,93.0,False,True
EST-0360,Administracion,5,M,25,16.2,5,5,0,65.0,False,True
EST-0361,Relaciones Industriales,10,M,27,12.7,4,3,1,78.1,False,False
EST-0362,Contaduria,8,F,23,16.4,4,3,1,62.6,False,True
EST-0363,Economia,7,F,25,8.9,4,0,4,73.9,False,True
EST-0364,Administracion,6,F,26,13.3,6,5,1,72.0,False,True
EST-0365,Economia,5,M,20,12.6,6,4,2,86.2,False,True
EST-0366,Administracion,4,M,22,15.3,5,4,1,58.3,False,True
EST-0367,Relaciones Industriales,3,M,27,11.5,7,4,3,59.7,False,True
EST-0368,Relaciones Industriales,5,M,20,12.0,4,3,1,83.5,True,False
EST-0369,Economia,4,M,20,15.1,4,4,0,79.6,False,True
EST-0370,Relaciones Industriales,5,M,24,15.5,4,3,1,76.6,True,False
EST-0371,Administracion,7,F,19,17.3,5,3,2,68.9,False,False
EST-0372,Relaciones Industriales,2,M,19,14.2,4,3,1,84.1,False,True
EST-0373,Contaduria,3,M,25,14.0,4,4,0,99.2,False,False
EST-0374,Contaduria,5,M,25,12.2,6,4,2,82.1,False,False
EST-0375,Relaciones Industriales,9,F,23,12.4,4,4,0,88.0,False,True
EST-0376,Administracion,10,M,24,12.4,4,1,3,99.3,False,False
EST-0377,Contaduria,1,F,17,12.4,4,4,0,73.6,False,False
EST-0378,Administracion,8,M,29,11.8,6,5,1,61.5,False,True
EST-0379,Economia,5,F,19,16.5,7,6,1,77.1,True,False
EST-0380,Economia,1,M,20,13.0,5,4,1,74.3,False,True
EST-0381,Administracion,6,M,22,13.0,4,3,1,70.9,False,True
EST-0382,Contaduria,7,M,23,9.7,7,4,3,70.1,False,True
EST-0383,Contaduria,6,M,22,12.0,7,3,4,85.9,False,True
EST-0384,Economia,10,F,27,14.9,6,4,2,100.0,False,False
EST-0385,Contaduria,6,M,20,14.8,6,2,4,70.6,True,True
EST-0386,Administracion,2,M,17,13.4,5,3,2,76.8,False,False
