fecha,tienda,region,categoria,cantidad,ingreso,costo
2023-01-07,Tienda-02,Central,Bebidas,6,50.45,39.84
2023-01-07,Tienda-05,Central,Bebidas,6,49.34,41.56
2023-01-07,Tienda-05,Central,Bebidas,2,15.62,11.91
2023-01-07,Tienda-02,Central,Limpieza,3,34.79,21.01
2023-01-08,Tienda-10,Capital,Alimentos,9,140.59,99.3
2023-01-08,Tienda-03,Andes,Electronica,1,153.73,96.63
2023-01-08,Tienda-05,Central,Bebidas,6,50.82,39.78
2023-01-08,Tienda-09,Capital,Alimentos,5,72.13,43.85
2023-01-08,Tienda-09,Capital,Electronica,2,272.08,176.36
2023-01-08,Tienda-06,Oriente,Electronica,1,142.67,90.32
2023-01-09,Tienda-10,Capital,Electronica,2,274.51,169.64
2023-01-09,Tienda-04,Capital,Hogar,7,324.99,221.6
2023-01-09,Tienda-04,Capital,Alimentos,6,97.71,66.44
2023-01-10,Tienda-06,Oriente,Alimentos,6,98.89,65.02
2023-01-10,Tienda-07,Capital,Alimentos,7,108.31,74.23
2023-01-10,Tienda-02,Central,Bebidas,7,58.53,44.96
2023-01-11,Tienda-10,Capital,Limpieza,8,99.64,78.68
2023-01-11,Tienda-09,Capital,Hogar,9,420.38,350.04
2023-01-11,Tienda-05,Central,Alimentos,8,114.78,89.04
2023-01-12,Tienda-01,Oriente,Electronica,1,140.42,107.35
2023-01-12,Tienda-07,Capital,Hogar,5,219.42,141.41
2023-01-12,Tienda-03,Andes,Electronica,1,164.09,138.21
2023-01-12,Tienda-06,Oriente,Limpieza,1,11.24,9.13
2023-01-12,Tienda-09,Capital,Hogar,1,47.77,29.33
2023-01-12,Tienda-06,Oriente,Alimentos,8,124.76,91.82
2023-01-13,Tienda-07,Capital,Bebidas,4,31.19,23.8
2023-01-13,Tienda-01,Oriente,Alimentos,2,30.12,21.15
2023-01-13,Tienda-04,Capital,Hogar,1,48.59,29.56
2023-01-13,Tienda-03,Andes,Cuidado Personal,5,94.77,78.91
2023-01-13,Tienda-05,Central,Cuidado Personal,4,69.58,42.74
2023-01-14,Tienda-07,Capital,Cuidado Personal,7,128.58,104.91
2023-01-14,Tienda-01,Oriente,Hogar,5,241.88,189.44
2023-01-14,Tienda-05,Central,Alimentos,5,79.96,50.87
2023-01-14,Tienda-04,Capital,Limpieza,2,26.17,21.53
2023-01-14,Tienda-09,Capital,Alimentos,11,152.68,127.63
2023-01-14,Tienda-08,Andes,Alimentos,5,75.41,48.04
2023-01-14,Tienda-04,Capital,Electronica,2,279.83,211.48
2023-01-14,Tienda-01,Oriente,Alimentos,6,97.6,76.58
2023-01-15,Tienda-10,Capital,Alimentos,6,89.67,67.47
2023-01-15,Tienda-08,Andes,Electronica,1,151.78,97.09
2023-01-16,Tienda-08,Andes,Limpieza,8,95.74,75.44
2023-01-16,Tienda-07,Capital,Alimentos,1,13.91,10.37
2023-01-16,Tienda-10,Capital,Alimentos,7,114.36,78.22
2023-01-16,Tienda-02,Central,Alimentos,7,99.02,60.17
2023-01-16,Tienda-04,Capital,Hogar,8,324.91,251.87
2023-01-16,Tienda-08,Andes,Limpieza,1,12.87,9.98
2023-01-17,Tienda-06,Oriente,Limpieza,4,47.66,35.03
2023-01-17,Tienda-07,Capital,Hogar,1,46.04,34.64
2023-01-17,Tienda-02,Central,Cuidado Personal,4,73.89,54.76
2023-01-17,Tienda-05,Central,Cuidado Personal,9,159.47,95.82
2023-01-17,Tienda-07,Capital,Cuidado Personal,5,94.83,61.29
2023-01-17,Tienda-06,Oriente,Alimentos,9,129.1,79.15
2023-01-17,Tienda-08,Andes,Limpieza,3,34.91,28.57
2023-01-18,Tienda-07,Capital,Bebidas,4,32.27,27.23
2023-01-18,Tienda-02,Central,Hogar,6,253.37,166.43
2023-01-18,Tienda-01,Oriente,Hogar,7,315.53,223.73
2023-01-18,Tienda-04,Capital,Hogar,5,247.05,153.94
2023-01-19,Tienda-09,Capital,Electronica,1,147.43,105.56
2023-01-19,Tienda-01,Oriente,Alimentos,7,108.9,90.86
2023-01-19,Tienda-08,Andes,Limpieza,3,35.79,30.05
2023-01-19,Tienda-08,Andes,Cuidado Personal,1,19.44,14.94
2023-01-19,Tienda-01,Oriente,Electronica,1,164.52,125.5
2023-01-20,Tienda-05,Central,Limpieza,9,110.45,76.45
2023-01-20,Tienda-04,Capital,Bebidas,4,31.09,20.13
2023-01-20,Tienda-03,Andes,Limpieza,5,64.83,52.95
2023-01-20,Tienda-06,Oriente,Bebidas,4,30.38,22.09
2023-01-20,Tienda-02,Central,Hogar,5,226.43,137.02
2023-01-20,Tienda-05,Central,Alimentos,9,142.02,116.75
2023-01-20,Tienda-09,Capital,Alimentos,7,104.1,86.8
2023-01-20,Tienda-02,Central,Cuidado Personal,9,167.87,137.19
2023-01-20,Tienda-01,Oriente,Alimentos,1,15.78,10.16
2023-01-21,Tienda-07,Capital,Bebidas,6,45.04,37.67
2023-01-21,Tienda-09,Capital,Alimentos,5,80.4,67.56
2023-01-21,Tienda-05,Central,Alimentos,11,166.1,125.31
2023-01-22,Tienda-04,Capital,Electronica,2,326.22,222.66
2023-01-22,Tienda-10,Capital,Bebidas,2,16.74,11.43
2023-01-22,Tienda-05,Central,Limpieza,9,97.43,76.24
2023-01-22,Tienda-02,Central,Alimentos,2,30.21,20.39
2023-01-22,Tienda-06,Oriente,Alimentos,3,44.47,35.94
2023-01-22,Tienda-08,Andes,Electronica,2,280.82,199.4
2023-01-23,Tienda-01,Oriente,Limpieza,9,106.18,66.79
2023-01-23,Tienda-07,Capital,Limpieza,8,97.42,64.59
2023-01-23,Tienda-03,Andes,Hogar,7,293.07,229.59
2023-01-23,Tienda-02,Central,Cuidado Personal,6,101.64,85.49
2023-01-23,Tienda-02,Central,Hogar,9,366.88,305.0
2023-01-23,Tienda-08,Andes,Hogar,3,136.35,85.11
2023-01-24,Tienda-08,Andes,Bebidas,6,48.2,35.94
2023-01-24,Tienda-07,Capital,Hogar,6,282.53,214.16
2023-01-25,Tienda-01,Oriente,Hogar,9,377.47,232.94
2023-01-25,Tienda-05,Central,Cuidado Personal,4,71.03,43.92
2023-01-25,Tienda-02,Central,Alimentos,8,124.59,82.25
2023-01-25,Tienda-02,Central,Hogar,8,362.67,217.67
2023-01-25,Tienda-09,Capital,Alimentos,6,92.58,72.83
2023-01-25,Tienda-03,Andes,Electronica,1,151.57,108.68
2023-01-25,Tienda-04,Capital,Alimentos,7,107.79,86.19
2023-01-25,Tienda-08,Andes,Electronica,2,309.28,243.47
2023-01-26,Tienda-03,Andes,Hogar,9,426.61,309.85
2023-01-26,Tienda-07,Capital,Hogar,8,372.42,267.71
2023-01-26,Tienda-01,Oriente,Hogar,6,276.17,207.14
2023-01-26,Tienda-08,Andes,Alimentos,7,97.67,77.58
2023-01-27,Tienda-07,Capital,Alimentos,4,55.0,46.29
2023-01-27,Tienda-05,Central,Cuidado Personal,2,37.07,27.52
2023-01-27,Tienda-05,Central,Limpieza,1,11.68,8.6
2023-01-27,Tienda-06,Oriente,Alimentos,6,91.92,68.65
2023-01-27,Tienda-07,Capital,Electronica,2,273.25,173.08
2023-01-27,Tienda-09,Capital,Alimentos,5,72.36,54.4
2023-01-28,Tienda-06,Oriente,Alimentos,3,49.44,34.64
2023-01-28,Tienda-10,Capital,Hogar,6,279.04,191.72
2023-01-28,Tienda-04,Capital,Electronica,1,147.28,92.7
2023-01-28,Tienda-04,Capital,Alimentos,10,155.13,96.92
2023-01-28,Tienda-02,Central,Electronica,1,137.82,86.87
2023-01-29,Tienda-04,Capital,Bebidas,11,81.95,58.76
2023-01-29,Tienda-02,Central,Limpieza,7,76.36,61.95
2023-01-29,Tienda-10,Capital,Limpieza,1,12.46,8.07
2023-01-29,Tienda-04,Capital,Limpieza,7,87.31,67.55
2023-01-29,Tienda-10,Capital,Cuidado Personal,10,191.8,141.32
2023-01-29,Tienda-01,Oriente,Alimentos,1,13.98,9.53
2023-01-29,Tienda-10,Capital,Hogar,5,204.2,132.3
2023-01-29,Tienda-06,Oriente,Cuidado Personal,9,150.53,102.83
2023-01-30,Tienda-09,Capital,Limpieza,7,91.75,67.42
2023-01-30,Tienda-06,Oriente,Alimentos,9,125.24,88.97
2023-01-30,Tienda-10,Capital,Alimentos,1,13.69,10.3
2023-01-30,Tienda-04,Capital,Limpieza,1,11.97,8.27
2023-01-30,Tienda-01,Oriente,Cuidado Personal,2,36.69,26.77
2023-01-31,Tienda-03,Andes,Electronica,1,137.24,104.73
2023-01-31,Tienda-04,Capital,Bebidas,4,34.23,22.1
2023-01-31,Tienda-08,Andes,Electronica,1,160.53,132.67
2023-01-31,Tienda-08,Andes,Limpieza,1,11.91,8.54
2023-01-31,Tienda-05,Central,Alimentos,4,64.73,51.63
2023-01-31,Tienda-08,Andes,Limpieza,4,43.94,28.03
2023-01-31,Tienda-09,Capital,Bebidas,5,38.68,27.0
2023-02-01,Tienda-06,Oriente,Bebidas,4,34.04,22.08
2023-02-01,Tienda-08,Andes,Hogar,5,212.11,169.14
2023-02-01,Tienda-02,Central,Alimentos,5,81.93,69.03
2023-02-02,Tienda-08,Andes,Alimentos,1,16.05,10.88
2023-02-02,Tienda-08,Andes,Hogar,2,85.08,70.55
2023-02-02,Tienda-02,Central,Bebidas,9,78.45,50.71
2023-02-02,Tienda-08,Andes,Alimentos,5,72.18,56.23
2023-02-02,Tienda-06,Oriente,Alimentos,4,56.29,35.52
2023-02-02,Tienda-08,Andes,Bebidas,1,7.25,5.92
2023-02-02,Tienda-04,Capital,Limpieza,7,76.97,47.02
2023-02-02,Tienda-07,Capital,Electronica,1,135.26,87.38
2023-02-03,Tienda-09,Capital,Hogar,8,392.4,313.92
2023-02-03,Tienda-10,Capital,Bebidas,3,22.29,16.66
2023-02-03,Tienda-08,Andes,Bebidas,8,65.41,46.95
2023-02-03,Tienda-01,Oriente,Alimentos,8,117.07,88.87
2023-02-03,Tienda-07,Capital,Alimentos,3,42.02,33.17
2023-02-03,Tienda-01,Oriente,Hogar,2,88.49,63.26
2023-02-04,Tienda-02,Central,Bebidas,5,38.27,27.7
2023-02-04,Tienda-06,Oriente,Bebidas,1,7.75,5.87
2023-02-05,Tienda-07,Capital,Cuidado Personal,6,114.58,87.51
2023-02-05,Tienda-10,Capital,Bebidas,1,8.58,7.15
2023-02-05,Tienda-06,Oriente,Electronica,1,142.62,104.85
2023-02-05,Tienda-02,Central,Limpieza,1,11.83,9.28
2023-02-05,Tienda-03,Andes,Limpieza,9,112.38,75.18
2023-02-05,Tienda-08,Andes,Limpieza,10,112.39,77.69
2023-02-06,Tienda-05,Central,Cuidado Personal,7,115.87,97.84
2023-02-06,Tienda-02,Central,Alimentos,1,15.82,11.06
2023-02-06,Tienda-07,Capital,Bebidas,8,64.24,39.54
2023-02-06,Tienda-10,Capital,Bebidas,4,35.16,27.87
2023-02-06,Tienda-01,Oriente,Limpieza,2,24.31,16.5
2023-02-06,Tienda-05,Central,Cuidado Personal,7,120.94,80.46
2023-02-06,Tienda-01,Oriente,Limpieza,1,13.19,10.17
2023-02-06,Tienda-10,Capital,Cuidado Personal,8,153.92,123.52
2023-02-06,Tienda-05,Central,Alimentos,9,142.31,104.98
2023-02-06,Tienda-08,Andes,Alimentos,3,45.63,33.15
2023-02-06,Tienda-01,Oriente,Alimentos,8,117.64,85.11
2023-02-06,Tienda-02,Central,Hogar,2,88.81,64.3
2023-02-07,Tienda-03,Andes,Hogar,9,400.37,260.24
2023-02-07,Tienda-10,Capital,Bebidas,1,7.88,5.79
2023-02-07,Tienda-10,Capital,Alimentos,9,129.23,104.83
2023-02-07,Tienda-01,Oriente,Hogar,9,372.36,239.47
2023-02-08,Tienda-01,Oriente,Hogar,2,96.56,80.8
2023-02-08,Tienda-09,Capital,Bebidas,6,46.6,37.43
2023-02-09,Tienda-07,Capital,Alimentos,9,125.77,91.12
2023-02-09,Tienda-01,Oriente,Cuidado Personal,5,94.87,77.71
2023-02-09,Tienda-01,Oriente,Alimentos,2,30.65,19.4
2023-02-09,Tienda-01,Oriente,Alimentos,8,123.74,100.58
2023-02-09,Tienda-07,Capital,Cuidado Personal,3,56.48,36.77
2023-02-10,Tienda-03,Andes,Bebidas,7,53.91,36.89
2023-02-10,Tienda-06,Oriente,Alimentos,3,41.48,31.16
2023-02-10,Tienda-01,Oriente,Limpieza,5,62.53,51.88
2023-02-10,Tienda-03,Andes,Electronica,2,326.61,226.93
2023-02-10,Tienda-05,Central,Hogar,9,372.13,227.17
2023-02-10,Tienda-09,Capital,Hogar,4,165.69,131.19
2023-02-10,Tienda-09,Capital,Alimentos,2,31.86,22.25
2023-02-10,Tienda-09,Capital,Electronica,1,151.22,120.68
2023-02-11,Tienda-08,Andes,Cuidado Personal,11,195.89,117.68
2023-02-11,Tienda-02,Central,Bebidas,5,41.9,33.49
2023-02-11,Tienda-08,Andes,Hogar,5,234.89,172.89
2023-02-11,Tienda-07,Capital,Hogar,3,124.27,75.54
2023-02-11,Tienda-02,Central,Electronica,1,136.38,103.67
2023-02-11,Tienda-02,Central,Alimentos,6,94.1,59.21
2023-02-11,Tienda-06,Oriente,Alimentos,9,147.67,91.59
2023-02-11,Tienda-07,Capital,Limpieza,1,12.08,8.22
2023-02-11,Tienda-09,Capital,Cuidado Personal,3,55.71,40.61
2023-02-11,Tienda-05,Central,Hogar,7,337.62,284.9
2023-02-12,Tienda-05,Central,Hogar,3,141.63,102.54
2023-02-12,Tienda-05,Central,Hogar,9,423.08,319.51
2023-02-12,Tienda-07,Capital,Alimentos,11,152.41,101.79
2023-02-12,Tienda-01,Oriente,Limpieza,2,25.6,19.33
2023-02-12,Tienda-09,Capital,Bebidas,10,84.68,68.35
2023-02-12,Tienda-09,Capital,Alimentos,7,106.28,90.22
2023-02-12,Tienda-09,Capital,Hogar,6,258.7,206.45
2023-02-12,Tienda-05,Central,Bebidas,3,22.2,17.79
2023-02-12,Tienda-07,Capital,Limpieza,10,111.08,90.55
2023-02-12,Tienda-08,Andes,Alimentos,5,71.18,58.92
2023-02-12,Tienda-10,Capital,Hogar,2,94.68,57.3
2023-02-13,Tienda-08,Andes,Electronica,2,317.12,268.97
2023-02-13,Tienda-06,Oriente,Limpieza,2,24.99,17.77
2023-02-13,Tienda-09,Capital,Electronica,1,161.8,103.16
2023-02-13,Tienda-04,Capital,Limpieza,9,114.05,85.2
2023-02-13,Tienda-07,Capital,Hogar,1,46.15,28.86
2023-02-13,Tienda-10,Capital,Alimentos,3,43.71,31.01
2023-02-13,Tienda-07,Capital,Hogar,4,182.82,130.04
2023-02-13,Tienda-10,Capital,Cuidado Personal,1,16.51,12.39
2023-02-13,Tienda-10,Capital,Hogar,5,242.71,194.33
2023-02-13,Tienda-06,Oriente,Alimentos,5,68.33,42.76
2023-02-14,Tienda-01,Oriente,Alimentos,8,125.43,80.43
2023-02-14,Tienda-05,Central,Alimentos,1,14.94,9.12
2023-02-14,Tienda-08,Andes,Alimentos,3,48.88,35.88
2023-02-14,Tienda-03,Andes,Limpieza,4,47.53,35.26
2023-02-14,Tienda-06,Oriente,Bebidas,8,62.06,38.32
2023-02-15,Tienda-08,Andes,Electronica,1,155.96,128.68
2023-02-15,Tienda-01,Oriente,Alimentos,4,58.6,37.32
2023-02-15,Tienda-10,Capital,Alimentos,7,111.12,66.96
2023-02-15,Tienda-04,Capital,Electronica,2,297.78,231.72
2023-02-15,Tienda-01,Oriente,Limpieza,5,60.46,45.18
2023-02-15,Tienda-08,Andes,Alimentos,5,73.16,54.16
2023-02-15,Tienda-02,Central,Bebidas,9,68.42,51.3
2023-02-15,Tienda-06,Oriente,Electronica,2,294.43,208.53
2023-02-15,Tienda-04,Capital,Alimentos,1,13.76,9.31
2023-02-16,Tienda-02,Central,Hogar,9,421.42,274.29
2023-02-16,Tienda-02,Central,Alimentos,6,96.15,70.65
2023-02-16,Tienda-08,Andes,Alimentos,5,77.17,58.65
2023-02-16,Tienda-03,Andes,Cuidado Personal,7,123.07,96.45
2023-02-16,Tienda-06,Oriente,Hogar,3,134.02,102.59
2023-02-17,Tienda-03,Andes,Bebidas,1,7.6,6.21
2023-02-17,Tienda-10,Capital,Alimentos,7,107.82,77.77
2023-02-17,Tienda-04,Capital,Alimentos,2,27.94,19.94
2023-02-17,Tienda-07,Capital,Bebidas,7,56.97,40.91
2023-02-17,Tienda-08,Andes,Alimentos,1,14.23,11.57
2023-02-17,Tienda-09,Capital,Alimentos,9,141.92,96.61
2023-02-17,Tienda-01,Oriente,Electronica,1,162.35,112.75
2023-02-18,Tienda-08,Andes,Alimentos,1,15.85,12.58
2023-02-18,Tienda-02,Central,Limpieza,2,24.2,18.92
2023-02-18,Tienda-02,Central,Alimentos,11,173.85,136.4
2023-02-18,Tienda-06,Oriente,Hogar,10,408.38,287.42
2023-02-18,Tienda-06,Oriente,Bebidas,5,36.07,23.45
2023-02-18,Tienda-09,Capital,Bebidas,5,42.33,34.64
2023-02-18,Tienda-06,Oriente,Hogar,7,330.33,228.92
2023-02-18,Tienda-01,Oriente,Hogar,7,338.96,235.61
2023-02-19,Tienda-03,Andes,Hogar,9,379.43,259.76
2023-02-19,Tienda-10,Capital,Alimentos,2,31.48,24.86
2023-02-19,Tienda-10,Capital,Electronica,2,323.16,225.82
2023-02-19,Tienda-07,Capital,Limpieza,10,124.64,91.9
2023-02-19,Tienda-08,Andes,Electronica,2,319.98,268.83
2023-02-19,Tienda-02,Central,Alimentos,7,99.48,68.13
2023-02-19,Tienda-05,Central,Alimentos,6,96.52,76.47
2023-02-20,Tienda-10,Capital,Electronica,2,317.96,264.66
2023-02-20,Tienda-08,Andes,Electronica,2,319.57,263.76
2023-02-20,Tienda-01,Oriente,Alimentos,8,128.38,92.13
2023-02-20,Tienda-06,Oriente,Hogar,3,148.35,120.74
2023-02-20,Tienda-08,Andes,Bebidas,3,22.19,16.28
2023-02-20,Tienda-10,Capital,Cuidado Personal,2,33.2,20.22
2023-02-21,Tienda-06,Oriente,Cuidado Personal,7,133.06,104.6
2023-02-21,Tienda-06,Oriente,Bebidas,3,24.44,16.33
2023-02-21,Tienda-02,Central,Limpieza,4,48.89,32.87
2023-02-22,Tienda-02,Central,Hogar,7,288.73,241.1
2023-02-22,Tienda-04,Capital,Alimentos,4,63.08,42.5
2023-02-22,Tienda-01,Oriente,Electronica,2,292.95,227.78
2023-02-22,Tienda-02,Central,Hogar,4,187.09,144.99
2023-02-22,Tienda-01,Oriente,Alimentos,1,16.26,11.95
2023-02-22,Tienda-02,Central,Limpieza,5,62.33,40.3
2023-02-22,Tienda-10,Capital,Alimentos,5,75.76,55.58
2023-02-22,Tienda-01,Oriente,Cuidado Personal,7,115.45,94.43
2023-02-22,Tienda-01,Oriente,Bebidas,9,65.25,48.9
2023-02-22,Tienda-08,Andes,Alimentos,5,73.73,53.05
2023-02-22,Tienda-04,Capital,Alimentos,2,32.88,24.44
2023-02-22,Tienda-05,Central,Hogar,1,41.59,24.97
2023-02-22,Tienda-07,Capital,Limpieza,8,86.97,60.27
2023-02-23,Tienda-06,Oriente,Cuidado Personal,1,18.48,11.76
2023-02-23,Tienda-01,Oriente,Bebidas,3,22.18,15.52
2023-02-23,Tienda-09,Capital,Alimentos,1,13.64,8.23
2023-02-24,Tienda-10,Capital,Electronica,1,138.45,91.54
2023-02-24,Tienda-10,Capital,Limpieza,8,100.07,82.64
2023-02-24,Tienda-04,Capital,Bebidas,9,77.04,56.78
2023-02-24,Tienda-01,Oriente,Limpieza,2,26.08,21.94
2023-02-24,Tienda-03,Andes,Alimentos,4,62.07,48.19
2023-02-24,Tienda-09,Capital,Electronica,2,327.56,245.91
2023-02-24,Tienda-02,Central,Cuidado Personal,6,105.56,73.67
2023-02-25,Tienda-07,Capital,Hogar,1,43.3,26.17
2023-02-25,Tienda-01,Oriente,Limpieza,1,11.18,7.3
2023-02-25,Tienda-05,Central,Bebidas,6,51.58,36.41
2023-02-25,Tienda-10,Capital,Alimentos,11,150.49,100.37
2023-02-25,Tienda-07,Capital,Electronica,2,279.48,186.11
2023-02-25,Tienda-02,Central,Hogar,10,446.97,358.07
2023-02-25,Tienda-09,Capital,Cuidado Personal,6,101.85,69.13
2023-02-26,Tienda-07,Capital,Limpieza,2,21.73,15.73
2023-02-26,Tienda-10,Capital,Bebidas,1,7.55,4.86
2023-02-26,Tienda-02,Central,Cuidado Personal,11,198.37,142.37
2023-02-26,Tienda-01,Oriente,Electronica,2,288.55,195.98
2023-02-26,Tienda-10,Capital,Hogar,6,275.17,178.01
2023-02-26,Tienda-09,Capital,Hogar,6,285.8,207.37
2023-02-27,Tienda-05,Central,Alimentos,6,82.07,56.4
2023-02-27,Tienda-01,Oriente,Alimentos,7,103.6,64.3
2023-02-27,Tienda-04,Capital,Hogar,8,391.07,246.29
2023-02-27,Tienda-10,Capital,Alimentos,9,125.38,102.11
2023-02-28,Tienda-06,Oriente,Electronica,1,139.65,110.87
2023-02-28,Tienda-05,Central,Electronica,2,314.42,260.47
2023-02-28,Tienda-03,Andes,Alimentos,2,27.13,16.45
2023-02-28,Tienda-09,Capital,Electronica,1,136.9,104.48
2023-02-28,Tienda-02,Central,Alimentos,2,28.84,18.24
2023-02-28,Tienda-06,Oriente,Alimentos,6,89.76,70.5
2023-03-01,Tienda-10,Capital,Hogar,2,94.42,77.28
2023-03-01,Tienda-04,Capital,Electronica,2,277.48,171.79
2023-03-01,Tienda-01,Oriente,Cuidado Personal,7,135.92,87.58
2023-03-01,Tienda-10,Capital,Limpieza,4,44.35,29.83
2023-03-01,Tienda-08,Andes,Cuidado Personal,5,97.64,74.75
2023-03-01,Tienda-01,Oriente,Hogar,1,43.37,33.99
2023-03-02,Tienda-06,Oriente,Bebidas,9,69.17,45.84
2023-03-02,Tienda-05,Central,Alimentos,5,78.33,63.51
2023-03-02,Tienda-10,Capital,Alimentos,7,96.49,62.33
2023-03-02,Tienda-07,Capital,Limpieza,1,11.46,9.39
2023-03-02,Tienda-08,Andes,Bebidas,2,16.73,12.36
2023-03-02,Tienda-09,Capital,Limpieza,2,24.29,19.03
2023-03-02,Tienda-09,Capital,Cuidado Personal,3,51.48,42.89
2023-03-02,Tienda-05,Central,Cuidado Personal,7,136.11,111.22
2023-03-02,Tienda-10,Capital,Bebidas,5,43.87,30.33
2023-03-03,Tienda-05,Central,Bebidas,1,8.54,6.73
2023-03-03,Tienda-05,Central,Electronica,1,155.93,95.69
2023-03-03,Tienda-10,Capital,Limpieza,5,60.12,49.18
2023-03-03,Tienda-10,Capital,Limpieza,7,91.47,62.69
2023-03-04,Tienda-04,Capital,Electronica,1,149.92,111.77
2023-03-04,Tienda-09,Capital,Alimentos,11,170.37,144.01
2023-03-04,Tienda-07,Capital,Cuidado Personal,11,189.94,146.04
2023-03-04,Tienda-08,Andes,Alimentos,1,15.25,12.75
2023-03-04,Tienda-07,Capital,Alimentos,3,45.74,33.68
2023-03-05,Tienda-05,Central,Limpieza,3,38.11,29.73
2023-03-05,Tienda-09,Capital,Cuidado Personal,5,87.67,53.66
2023-03-05,Tienda-01,Oriente,Hogar,10,416.14,285.86
2023-03-05,Tienda-07,Capital,Cuidado Personal,7,118.62,79.37
2023-03-05,Tienda-02,Central,Alimentos,6,83.58,68.25
2023-03-06,Tienda-02,Central,Electronica,1,140.54,90.58
2023-03-06,Tienda-06,Oriente,Limpieza,9,98.24,80.16
2023-03-06,Tienda-10,Capital,Hogar,4,180.17,125.99
2023-03-06,Tienda-09,Capital,Limpieza,1,11.41,8.82
2023-03-06,Tienda-03,Andes,Limpieza,6,71.23,47.37
2023-03-06,Tienda-06,Oriente,Alimentos,1,13.6,8.19
2023-03-06,Tienda-05,Central,Limpieza,2,25.22,17.39
2023-03-06,Tienda-03,Andes,Limpieza,1,12.82,9.43
2023-03-07,Tienda-08,Andes,Limpieza,9,115.01,79.95
2023-03-07,Tienda-03,Andes,Electronica,2,299.49,201.71
2023-03-07,Tienda-09,Capital,Electronica,2,310.93,190.0
2023-03-07,Tienda-04,Capital,Bebidas,2,17.49,14.32
2023-03-07,Tienda-10,Capital,Hogar,8,324.57,207.48
2023-03-08,Tienda-05,Central,Alimentos,8,126.6,106.33
2023-03-08,Tienda-10,Capital,Alimentos,1,13.66,8.75
2023-03-08,Tienda-01,Oriente,Alimentos,2,30.01,24.73
2023-03-08,Tienda-03,Andes,Alimentos,4,63.78,44.27
